Universidad,Licenciatura,Integridad Académica
Universidad Autónoma de Querétaro,Arquitectura,Alta Integridad
Universidad Autónoma de Querétaro,Medicina,Alta Integridad
Universidad Autónoma de San Luis Potosí,Ingeniería Civil,Alta Integridad
Universidad Autónoma de Nuevo León,Diseño Gráfico,Baja Integridad
Universidad Autónoma de San Luis Potosí,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de San Luis Potosí,Historia,Alta Integridad
Universidad Autónoma de Nuevo León,Historia,Moderada Integridad
Universidad Autónoma de Guadalajara,Ingeniería Civil,Alta Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Chihuahua,Biología,Moderada Integridad
Universidad Autónoma del Estado de México,Medicina,Moderada Integridad
Universidad Autónoma de Guadalajara,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Chihuahua,Filosofía,Moderada Integridad
Universidad Autónoma de Querétaro,Biología,Moderada Integridad
Universidad Autónoma de Nuevo León,Ingeniería Civil,Moderada Integridad
Universidad Autónoma Metropolitana,Arquitectura,Moderada Integridad
Universidad Autónoma Metropolitana,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Guadalajara,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Guadalajara,Nutrición,Moderada Integridad
Universidad Nacional Autónoma de México,Sociología,Baja Integridad
Universidad Nacional Autónoma de México,Matemáticas,Moderada Integridad
Universidad Autónoma Metropolitana,Diseño Gráfico,Alta Integridad
Universidad Nacional Autónoma de México,Filosofía,Baja Integridad
Universidad Autónoma de Nuevo León,Administración,Baja Integridad
Universidad Autónoma del Estado de México,Economía,Baja Integridad
Universidad Autónoma Metropolitana,Medicina,Baja Integridad
Universidad Autónoma del Estado de México,Medicina,Moderada Integridad
Universidad Autónoma de Guadalajara,Arquitectura,Alta Integridad
Universidad Autónoma de Chihuahua,Medicina,Moderada Integridad
Universidad Autónoma del Estado de México,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Nuevo León,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Querétaro,Filosofía,Moderada Integridad
Universidad Autónoma de Yucatán,Contaduría,Baja Integridad
Universidad Autónoma del Estado de México,Psicología,Moderada Integridad
Universidad Autónoma de Nuevo León,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Querétaro,Sociología,Moderada Integridad
Universidad Autónoma del Estado de México,Ingeniería Civil,Moderada Integridad
Universidad Autónoma Metropolitana,Economía,Moderada Integridad
Universidad Autónoma de Querétaro,Matemáticas,Moderada Integridad
Universidad Autónoma de Baja California,Administración,Alta Integridad
Universidad Autónoma Metropolitana,Contaduría,Alta Integridad
Universidad Autónoma de Yucatán,Nutrición,Moderada Integridad
Universidad Autónoma de Querétaro,Nutrición,Moderada Integridad
Universidad Autónoma Metropolitana,Economía,Alta Integridad
Universidad Nacional Autónoma de México,Nutrición,Alta Integridad
Universidad Autónoma Metropolitana,Sociología,Moderada Integridad
Universidad Autónoma Metropolitana,Psicología,Baja Integridad
Universidad Autónoma de Chihuahua,Biología,Moderada Integridad
Universidad Autónoma de Querétaro,Pedagogía,Alta Integridad
Universidad Autónoma de Chihuahua,Diseño Gráfico,Moderada Integridad
Universidad Nacional Autónoma de México,Biología,Moderada Integridad
Universidad Autónoma de Yucatán,Nutrición,Baja Integridad
Universidad Autónoma de Guadalajara,Historia,Baja Integridad
Universidad Autónoma de Guadalajara,Nutrición,Baja Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Moderada Integridad
Universidad Autónoma de Nuevo León,Diseño Gráfico,Alta Integridad
Universidad Autónoma de Yucatán,Sociología,Alta Integridad
Universidad Autónoma de Yucatán,Filosofía,Baja Integridad
Universidad Autónoma de San Luis Potosí,Economía,Moderada Integridad
Universidad Autónoma del Estado de México,Derecho,Moderada Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Alta Integridad
Universidad Autónoma de Querétaro,Administración,Alta Integridad
Universidad Nacional Autónoma de México,Relaciones Internacionales,Alta Integridad
Universidad Autónoma Metropolitana,Contaduría,Moderada Integridad
Universidad Autónoma de Nuevo León,Nutrición,Baja Integridad
Universidad Autónoma de Querétaro,Arquitectura,Alta Integridad
Universidad Autónoma de Guadalajara,Economía,Baja Integridad
Universidad Autónoma de Querétaro,Pedagogía,Baja Integridad
Universidad Autónoma de Querétaro,Relaciones Internacionales,Baja Integridad
Universidad Nacional Autónoma de México,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Yucatán,Sociología,Moderada Integridad
Universidad Autónoma de Chihuahua,Ingeniería Civil,Baja Integridad
Universidad Autónoma Metropolitana,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Moderada Integridad
Universidad Autónoma de Querétaro,Medicina,Moderada Integridad
Universidad Autónoma de Querétaro,Historia,Moderada Integridad
Universidad Autónoma Metropolitana,Matemáticas,Baja Integridad
Universidad Nacional Autónoma de México,Medicina,Baja Integridad
Universidad Autónoma de Querétaro,Derecho,Alta Integridad
Universidad Autónoma del Estado de México,Historia,Moderada Integridad
Universidad Autónoma Metropolitana,Sociología,Alta Integridad
Universidad Autónoma de Guadalajara,Economía,Baja Integridad
Universidad Autónoma de Querétaro,Sociología,Baja Integridad
Universidad Autónoma de Chihuahua,Contaduría,Alta Integridad
Universidad Autónoma Metropolitana,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Guadalajara,Medicina,Baja Integridad
Universidad Autónoma de Yucatán,Medicina,Baja Integridad
Universidad Autónoma del Estado de México,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Querétaro,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Nuevo León,Arquitectura,Baja Integridad
Universidad Autónoma de Chihuahua,Comunicación,Moderada Integridad
Universidad Autónoma Metropolitana,Historia,Moderada Integridad
Universidad Autónoma del Estado de México,Sociología,Baja Integridad
Universidad Autónoma de Baja California,Economía,Moderada Integridad
Universidad Autónoma de Baja California,Ingeniería Civil,Alta Integridad
Universidad Autónoma de Querétaro,Matemáticas,Alta Integridad
Universidad Autónoma de Guadalajara,Medicina,Moderada Integridad
Universidad Autónoma de Guadalajara,Medicina,Alta Integridad
Universidad Autónoma de Querétaro,Psicología,Alta Integridad
Universidad Nacional Autónoma de México,Historia,Alta Integridad
Universidad Nacional Autónoma de México,Medicina,Baja Integridad
Universidad Autónoma de San Luis Potosí,Administración,Baja Integridad
Universidad Autónoma de Nuevo León,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma Metropolitana,Sociología,Alta Integridad
Universidad Autónoma del Estado de México,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Baja California,Medicina,Alta Integridad
Universidad Autónoma de Yucatán,Nutrición,Baja Integridad
Universidad Autónoma de Querétaro,Derecho,Moderada Integridad
Universidad Nacional Autónoma de México,Ciencias Políticas,Alta Integridad
Universidad Autónoma Metropolitana,Nutrición,Baja Integridad
Universidad Autónoma Metropolitana,Contaduría,Baja Integridad
Universidad Nacional Autónoma de México,Pedagogía,Moderada Integridad
Universidad Autónoma del Estado de México,Psicología,Moderada Integridad
Universidad Autónoma Metropolitana,Economía,Moderada Integridad
Universidad Autónoma de Querétaro,Historia,Moderada Integridad
Universidad Autónoma de Querétaro,Historia,Alta Integridad
Universidad Autónoma de San Luis Potosí,Comunicación,Alta Integridad
Universidad Autónoma de Querétaro,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma Metropolitana,Medicina,Alta Integridad
Universidad Autónoma Metropolitana,Economía,Moderada Integridad
Universidad Autónoma de Chihuahua,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Yucatán,Comunicación,Baja Integridad
Universidad Autónoma de Nuevo León,Contaduría,Moderada Integridad
Universidad Nacional Autónoma de México,Derecho,Alta Integridad
Universidad Autónoma de Querétaro,Filosofía,Alta Integridad
Universidad Autónoma de San Luis Potosí,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Yucatán,Comunicación,Moderada Integridad
Universidad Nacional Autónoma de México,Comunicación,Alta Integridad
Universidad Autónoma de Nuevo León,Biología,Alta Integridad
Universidad Autónoma de Nuevo León,Ciencias Políticas,Alta Integridad
Universidad Autónoma Metropolitana,Historia,Moderada Integridad
Universidad Autónoma de Guadalajara,Matemáticas,Moderada Integridad
Universidad Nacional Autónoma de México,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Economía,Alta Integridad
Universidad Autónoma del Estado de México,Contaduría,Moderada Integridad
Universidad Autónoma Metropolitana,Comunicación,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Psicología,Baja Integridad
Universidad Autónoma de Chihuahua,Sociología,Alta Integridad
Universidad Autónoma de Nuevo León,Pedagogía,Baja Integridad
Universidad Autónoma de Querétaro,Economía,Baja Integridad
Universidad Autónoma de Baja California,Diseño Gráfico,Alta Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Moderada Integridad
Universidad Autónoma de Baja California,Pedagogía,Alta Integridad
Universidad Autónoma Metropolitana,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Yucatán,Matemáticas,Baja Integridad
Universidad Autónoma de Guadalajara,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Yucatán,Economía,Baja Integridad
Universidad Autónoma de Guadalajara,Pedagogía,Baja Integridad
Universidad Autónoma de Baja California,Administración,Alta Integridad
Universidad Autónoma de Chihuahua,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Nuevo León,Economía,Moderada Integridad
Universidad Autónoma de Yucatán,Historia,Baja Integridad
Universidad Autónoma de Nuevo León,Pedagogía,Moderada Integridad
Universidad Autónoma de Nuevo León,Nutrición,Baja Integridad
Universidad Nacional Autónoma de México,Administración,Alta Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Alta Integridad
Universidad Autónoma de Nuevo León,Medicina,Alta Integridad
Universidad Autónoma de San Luis Potosí,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Nuevo León,Comunicación,Baja Integridad
Universidad Autónoma de San Luis Potosí,Historia,Alta Integridad
Universidad Autónoma de Chihuahua,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Chihuahua,Comunicación,Moderada Integridad
Universidad Autónoma de Chihuahua,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Yucatán,Nutrición,Baja Integridad
Universidad Autónoma Metropolitana,Arquitectura,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Administración,Alta Integridad
Universidad Autónoma de Querétaro,Nutrición,Moderada Integridad
Universidad Autónoma de Nuevo León,Psicología,Moderada Integridad
Universidad Autónoma de Guadalajara,Arquitectura,Alta Integridad
Universidad Nacional Autónoma de México,Filosofía,Alta Integridad
Universidad Autónoma de Nuevo León,Nutrición,Alta Integridad
Universidad Autónoma de Chihuahua,Relaciones Internacionales,Baja Integridad
Universidad Nacional Autónoma de México,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Querétaro,Ciencias Políticas,Moderada Integridad
Universidad Nacional Autónoma de México,Historia,Moderada Integridad
Universidad Autónoma de Guadalajara,Arquitectura,Alta Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Nuevo León,Ciencias Políticas,Alta Integridad
Universidad Autónoma Metropolitana,Historia,Baja Integridad
Universidad Autónoma de Guadalajara,Derecho,Alta Integridad
Universidad Autónoma de Yucatán,Ingeniería Civil,Alta Integridad
Universidad Nacional Autónoma de México,Sociología,Moderada Integridad
Universidad Autónoma Metropolitana,Relaciones Internacionales,Baja Integridad
Universidad Autónoma del Estado de México,Medicina,Alta Integridad
Universidad Nacional Autónoma de México,Derecho,Alta Integridad
Universidad Autónoma de Nuevo León,Filosofía,Alta Integridad
Universidad Autónoma de Nuevo León,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Guadalajara,Medicina,Moderada Integridad
Universidad Autónoma de Querétaro,Diseño Gráfico,Moderada Integridad
Universidad Autónoma Metropolitana,Biología,Moderada Integridad
Universidad Autónoma de Yucatán,Filosofía,Moderada Integridad
Universidad Nacional Autónoma de México,Comunicación,Moderada Integridad
Universidad Autónoma de Guadalajara,Administración,Baja Integridad
Universidad Autónoma de Querétaro,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Nuevo León,Economía,Baja Integridad
Universidad Autónoma de Chihuahua,Nutrición,Baja Integridad
Universidad Autónoma de Guadalajara,Contaduría,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Baja Integridad
Universidad Autónoma de Guadalajara,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Chihuahua,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Yucatán,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Guadalajara,Ciencias Políticas,Alta Integridad
